,Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min,partition,UC_Origin,UC_Dest,predict_proba,predict
13774,1,14,5,1930,15,144,74,98,1.0,train,1195,1170,0.16325353,0
13784,6,9,4,1554,15,74,251,515,1.0,train,1167,1239,0.21515146,0
13785,11,16,3,2058,8,19,219,247,1.0,train,558,683,0.42084038,0
13786,7,23,6,2235,18,161,138,2288,1.0,train,1482,1480,0.15246391,0
13790,3,13,1,1850,1,98,189,1086,1.0,train,139,168,0.23964153,0
13813,12,12,2,1900,21,98,64,529,1.0,train,1720,1714,0.3580033,0
13814,4,7,5,1156,13,213,239,647,1.0,train,978,990,0.23131686,0
13817,8,13,7,1605,10,19,166,761,1.0,train,770,802,0.35125673,0
13820,11,8,2,1745,15,199,74,373,1.0,train,1214,1170,0.20069534,0
13825,5,26,5,1755,20,207,161,337,1.0,train,1649,1650,0.41491956,0
13829,8,4,4,2141,3,258,207,671,0.0,train,257,246,0.5295661,1
13846,8,29,1,1455,15,74,133,597,1.0,train,1167,1190,0.17191191,0
13863,12,5,2,1543,20,276,182,251,1.0,train,1672,1656,0.14715378,0
13866,5,16,1,1649,20,132,222,1020,1.0,train,1631,1667,0.27070057,0
13878,10,15,7,2006,20,258,37,399,1.0,train,1666,1628,0.3972115,0
13884,7,9,6,1025,12,159,161,236,1.0,train,863,870,0.10062788,0
13897,6,5,1,1606,22,121,64,83,1.0,train,1862,1849,0.18187676,0
13899,2,24,4,1400,21,27,139,1428,1.0,train,1686,1747,0.23608187,0
13901,12,1,4,1625,12,222,2,328,1.0,train,877,846,0.18823785,0
13906,3,18,5,1422,14,291,201,1298,1.0,train,1133,1095,0.24667025,0
13912,8,29,2,1745,2,131,149,216,1.0,train,206,208,0.19670548,0
13913,3,14,2,904,21,276,139,668,1.0,train,1803,1747,0.12208886,0
13917,6,20,2,1359,21,229,139,489,1.0,train,1781,1747,0.23552258,0
13918,6,28,3,2044,3,218,222,1009,0.0,train,250,252,0.5217293,1
13925,10,24,1,1907,21,64,139,913,1.0,train,1703,1747,0.2390125,0
13939,11,8,3,2005,20,49,188,377,1.0,train,1621,1657,0.25785202,0
13942,2,12,6,1652,20,180,221,861,1.0,train,1645,1666,0.26928282,0
13951,6,27,2,1159,20,49,144,515,1.0,train,1621,1645,0.19364288,0
13952,12,7,4,1725,22,138,62,288,1.0,train,1868,1848,0.24978894,0
13955,6,3,6,942,1,161,82,1235,1.0,train,158,136,0.11328675,0
13958,10,11,3,2048,1,154,161,2475,1.0,train,155,159,0.21023777,0
13959,12,18,7,1729,5,248,98,1068,1.0,train,378,336,0.3843154,0
13960,4,27,4,2124,14,88,189,1145,1.0,train,1046,1090,0.34337977,0
13968,7,24,1,1930,20,81,159,629,1.0,train,1626,1649,0.4602433,0
13969,11,15,3,2036,20,239,36,443,1.0,train,1660,1627,0.40350187,0
13970,3,9,3,1430,1,38,189,1258,1.0,train,124,168,0.23380187,0
13973,6,29,3,958,1,213,38,867,1.0,train,176,125,0.15576342,0
13979,7,16,7,1250,10,19,117,352,1.0,train,770,793,0.1733097,0
13981,6,16,5,1943,1,82,80,1192,1.0,train,135,134,0.41260257,0
13988,11,22,2,1821,7,80,19,547,1.0,train,464,440,0.2519757,0
13994,10,5,3,1819,18,213,189,1197,1.0,train,1498,1497,0.2617581,0
14012,11,23,3,1306,13,82,176,309,1.0,train,924,964,0.16388614,0
14015,9,26,1,1119,16,259,69,963,1.0,train,1389,1298,0.16317679,0
14035,10,17,1,1425,20,159,250,1069,1.0,train,1639,1674,0.27371296,0
14044,5,15,1,1828,5,38,98,200,1.0,train,320,336,0.38648987,0
14060,11,21,2,1550,22,222,306,160,1.0,train,1910,1955,0.26962435,0
14064,11,8,2,1220,8,19,116,300,1.0,train,558,617,0.2301414,0
14070,10,22,7,1921,20,267,159,368,1.0,train,1669,1649,0.33357683,0
14071,7,13,3,2303,5,222,98,2133,1.0,train,372,336,0.4880286,0
14078,10,21,5,1835,20,180,234,1073,1.0,train,1645,1669,0.42893052,0
14079,7,16,7,1856,16,213,223,130,1.0,train,1362,1371,0.31395876,0
14085,7,25,1,1154,13,60,213,196,1.0,train,911,982,0.31580472,0
14088,4,15,5,1511,20,88,276,440,1.0,train,1627,1682,0.2729492,0
14092,9,24,7,1036,13,111,213,157,1.0,train,932,982,0.14085779,0
14100,2,25,5,720,7,166,19,761,1.0,train,493,440,0.09807673,0
14103,2,23,4,1747,19,221,189,1013,1.0,train,1584,1581,0.3216866,0
14105,11,5,7,2146,20,159,269,397,0.0,train,1639,1680,0.52776474,1
14108,12,15,5,1413,19,19,221,665,1.0,train,1529,1594,0.44303626,0
14127,9,29,4,1347,21,239,98,416,1.0,train,1786,1731,0.33533984,0
14129,1,2,7,744,15,80,135,613,1.0,train,1170,1191,0.13383624,0
14131,10,22,6,1250,13,259,161,337,1.0,train,997,956,0.20129004,0
14150,12,22,4,1415,10,19,229,272,1.0,train,770,818,0.37426248,0
14153,7,21,4,1140,13,245,213,528,1.0,train,988,982,0.27689528,0
14156,8,19,5,1901,14,36,201,695,1.0,train,1026,1095,0.3849646,0
14159,6,18,6,2145,20,180,106,178,0.0,train,1645,1639,0.59047365,1
14163,7,21,5,1258,8,19,229,272,1.0,train,558,689,0.33926147,0
14164,3,25,5,1516,1,166,286,1011,1.0,train,159,203,0.32912114,0
14167,7,21,4,1455,14,201,210,282,1.0,train,1093,1100,0.26568595,0
14169,12,9,5,1649,1,166,189,1097,1.0,train,159,168,0.3404362,0
14178,12,19,1,1533,3,258,259,679,1.0,train,257,259,0.30094293,0
14183,11,15,2,1938,3,269,258,605,1.0,train,261,258,0.29506132,0
14197,11,15,2,2125,6,138,64,321,1.0,train,413,402,0.28183725,0
14204,6,10,6,1540,22,138,98,213,1.0,train,1868,1865,0.39124355,0
14210,11,23,4,1246,14,88,81,1123,1.0,train,1046,1045,0.17769977,0
14218,12,15,4,2016,5,98,258,2401,1.0,train,336,380,0.4899549,0
14224,3,21,1,1445,15,29,74,906,1.0,train,1147,1170,0.2375641,0
14228,9,18,1,630,15,121,19,306,1.0,train,1185,1142,0.04270615,0
14230,12,20,3,859,9,81,161,862,1.0,train,733,749,0.12981834,0
14234,8,8,1,2245,14,88,118,288,1.0,train,1046,1060,0.46854895,0
14239,2,9,3,1240,1,88,213,235,1.0,train,136,177,0.11828003,0
14246,2,17,4,2034,19,64,81,1337,1.0,train,1542,1552,0.359588,0
14247,11,23,3,1826,7,159,267,368,1.0,train,490,539,0.18471478,0
14253,10,12,4,1552,19,80,13,318,1.0,train,1544,1534,0.21930487,0
14270,8,3,3,1038,1,222,213,1440,1.0,train,181,177,0.1671209,0
14274,12,23,6,1357,1,166,276,887,1.0,train,159,200,0.38751784,0
14289,9,22,4,1030,1,36,82,631,1.0,train,123,136,0.09880173,0
14305,8,3,4,2100,15,166,251,722,1.0,train,1202,1239,0.4708288,0
14308,6,8,3,1901,18,80,213,612,1.0,train,1458,1505,0.29501286,0
14311,8,25,4,1516,9,269,81,910,1.0,train,765,740,0.2381486,0
14314,9,8,5,1639,19,221,222,2075,1.0,train,1584,1595,0.25034228,0
14324,1,4,3,1454,1,21,82,190,1.0,train,120,136,0.2044423,0
14329,8,13,7,1137,10,242,180,667,1.0,train,815,804,0.12340121,0
14346,10,4,3,1519,21,139,194,427,1.0,train,1734,1776,0.13146235,0
14367,11,17,5,1828,18,98,81,1605,1.0,train,1464,1466,0.2564948,0
14374,10,27,4,1029,7,144,19,432,1.0,train,485,440,0.115991,0
14377,12,5,1,1103,8,19,148,795,1.0,train,558,639,0.27055022,0
14381,12,19,1,1108,18,259,82,1464,1.0,train,1514,1467,0.22565341,0
14386,12,15,5,2256,5,139,21,140,0.0,train,344,318,0.5516026,1
14392,4,1,6,1215,7,19,161,1946,1.0,train,443,491,0.19610891,0
14394,12,5,2,826,7,19,161,1946,1.0,train,443,491,0.09404905,0
14399,9,1,5,1700,19,202,221,1088,1.0,train,1574,1594,0.3189632,0
14412,1,3,1,1632,18,259,159,414,1.0,train,1514,1488,0.4649019,0
14423,6,5,7,2205,20,212,269,389,0.0,train,1652,1680,0.6026874,1
14426,9,8,4,1312,16,267,279,223,1.0,train,1394,1405,0.10842879,0
14431,9,26,1,712,13,271,264,342,1.0,train,1002,1004,0.04091635,0
14435,6,2,4,816,7,191,19,443,1.0,train,502,440,0.095373176,0
14444,9,1,5,1940,8,19,275,445,1.0,train,558,713,0.45251372,0
14448,6,11,7,1843,20,159,161,236,1.0,train,1639,1650,0.39406633,0
14455,2,20,1,1515,20,207,222,646,1.0,train,1649,1667,0.38774052,0
14462,4,25,2,619,20,222,269,647,1.0,train,1657,1680,0.016530309,0
14480,11,19,7,1839,20,182,88,229,1.0,train,1646,1637,0.28493804,0
14481,7,22,5,1403,1,266,154,1597,1.0,train,195,156,0.25464502,0
14487,1,4,2,1540,15,210,74,614,1.0,train,1219,1170,0.32707933,0
14500,12,21,3,1641,9,81,276,770,1.0,train,733,773,0.2000491,0
14509,4,3,1,655,1,266,189,1045,1.0,train,195,168,0.043734014,0
14517,12,4,7,1027,19,221,106,992,1.0,train,1584,1561,0.15126745,0
14518,1,21,5,1009,14,88,118,288,1.0,train,1046,1060,0.129938,0
14520,11,22,2,1830,13,38,49,370,1.0,train,904,911,0.30150172,0
14521,7,12,2,1936,14,88,82,987,1.0,train,1046,1046,0.37352666,0
14526,1,1,6,1259,18,81,21,775,1.0,train,1459,1450,0.19948693,0
14533,11,30,4,1017,19,80,286,814,1.0,train,1544,1619,0.14411986,0
14540,6,27,1,1627,19,221,201,980,1.0,train,1584,1583,0.32038686,0
14544,2,26,7,925,7,243,19,1993,1.0,train,526,440,0.12665127,0
14546,3,12,7,1837,5,286,98,998,1.0,train,391,336,0.29843143,0
14547,8,25,5,1848,18,213,138,589,1.0,train,1498,1480,0.39188614,0
14551,4,26,2,2030,8,120,19,640,1.0,train,618,561,0.44921228,0
14568,12,10,6,1703,18,62,213,316,1.0,train,1452,1505,0.21750908,0
14573,11,27,7,1319,7,286,154,1005,1.0,train,546,488,0.16466837,0
14577,9,11,1,1529,20,188,182,838,1.0,train,1647,1656,0.23029758,0
14581,7,23,7,1206,20,222,49,1999,1.0,train,1657,1631,0.23216367,0
14599,7,6,3,1413,20,269,249,480,1.0,train,1670,1673,0.24257042,0
14605,4,4,2,1155,1,166,82,1389,1.0,train,159,136,0.16748817,0
14616,6,11,6,1455,19,221,38,280,1.0,train,1584,1542,0.18555741,0
14618,9,17,7,2019,7,221,19,665,1.0,train,516,440,0.46238047,0
14624,11,14,2,1458,5,178,98,1092,1.0,train,352,336,0.29902983,0
14628,8,21,1,1844,20,182,210,423,1.0,train,1646,1661,0.40019828,0
14629,7,31,7,1508,18,161,81,862,1.0,train,1482,1466,0.22963518,0
14641,3,21,1,1628,5,248,98,1068,1.0,train,378,336,0.41798908,0
14643,5,19,5,1915,13,82,122,862,1.0,train,924,943,0.35365263,0
14644,4,1,6,1420,13,213,24,122,1.0,train,978,902,0.20894761,0
14649,8,25,5,2009,1,82,303,281,1.0,train,135,206,0.43701333,0
14656,5,1,1,1528,16,213,101,557,1.0,train,1362,1313,0.17068942,0
14662,12,9,5,1727,3,215,16,549,1.0,train,249,221,0.35876253,0
14674,8,11,4,1620,20,159,226,1910,1.0,train,1639,1668,0.36329344,0
14678,11,2,4,1230,8,19,262,552,1.0,train,558,707,0.19971436,0
14688,5,2,1,2101,19,239,221,336,1.0,train,1590,1594,0.18808952,0
14702,6,27,1,1715,14,88,184,610,1.0,train,1046,1088,0.3205637,0
14705,3,19,7,2,19,159,2,487,0.0,train,1562,1533,0.62801003,1
14714,2,24,4,1543,20,222,93,347,1.0,train,1657,1638,0.32764882,0
14717,3,6,7,1608,7,121,19,306,1.0,train,476,440,0.1681947,0
14720,7,5,2,1649,13,176,82,309,1.0,train,960,928,0.20477267,0
14727,4,21,5,1624,20,48,264,296,1.0,train,1620,1678,0.2921818,0
14732,11,19,7,1413,21,98,276,872,1.0,train,1720,1816,0.2143286,0
14733,3,21,1,1443,21,289,139,429,1.0,train,1807,1747,0.26227933,0
14753,4,29,5,1450,3,258,16,1449,1.0,train,257,221,0.24399486,0
14760,2,7,1,1715,14,88,239,501,1.0,train,1046,1113,0.14699866,0
14761,5,20,6,1215,7,258,19,2182,1.0,train,533,440,0.15482762,0
14767,9,13,2,1048,15,62,74,221,1.0,train,1161,1170,0.08460244,0
14768,8,22,1,1717,8,19,73,83,1.0,train,558,594,0.44219533,0
14781,2,17,5,1920,15,74,111,136,1.0,train,1167,1184,0.17158301,0
14783,4,12,2,1646,13,210,213,416,1.0,train,977,982,0.21004526,0
14785,1,13,4,1557,5,98,19,745,1.0,train,336,317,0.32881254,0
14792,6,6,1,1448,1,259,82,1464,1.0,train,193,136,0.24246441,0
14795,1,23,1,906,7,257,19,321,1.0,train,532,440,0.23552762,0
14805,11,9,4,1543,14,88,82,987,1.0,train,1046,1046,0.20767482,0
14812,2,8,2,1850,20,21,162,341,1.0,train,1614,1651,0.15906498,0
14815,10,6,5,1734,10,19,251,215,1.0,train,770,825,0.36388582,0
14817,8,25,4,1849,7,49,19,576,1.0,train,453,440,0.42340916,0
14824,2,19,6,830,15,49,74,430,1.0,train,1154,1170,0.08002434,0
14825,7,8,5,2014,10,19,226,526,0.0,train,770,817,0.5285351,1
14835,12,20,3,1334,20,269,222,647,1.0,train,1670,1667,0.40790945,0
14850,5,26,5,1435,20,269,218,479,1.0,train,1670,1665,0.31919706,0
14851,3,12,6,1400,10,245,180,1033,1.0,train,816,804,0.19531383,0
14853,1,29,7,2020,20,182,49,611,1.0,train,1646,1631,0.46237028,0
14856,3,18,5,1606,14,190,222,1460,1.0,train,1089,1107,0.28151986,0
14861,10,14,5,1837,10,242,221,198,1.0,train,815,815,0.31547952,0
14866,3,4,6,1458,16,213,244,531,1.0,train,1362,1384,0.201038,0
14869,2,16,4,1145,15,217,74,892,1.0,train,1222,1170,0.20312096,0
14870,11,15,3,1010,8,37,267,291,1.0,train,571,709,0.17246145,0
14876,4,5,3,936,13,213,247,268,1.0,train,978,994,0.15382819,0
14877,1,7,6,1755,20,65,276,410,1.0,train,1623,1682,0.24064678,0
14882,9,24,7,1901,18,81,269,910,1.0,train,1459,1525,0.22471333,0
14885,6,1,3,1528,13,82,45,383,1.0,train,924,909,0.22105795,0
14894,9,11,7,1731,14,158,88,74,1.0,train,1074,1049,0.14512873,0
14898,12,19,1,1712,10,19,78,432,1.0,train,770,785,0.2974862,0
14899,11,27,7,1507,3,8,12,914,1.0,train,217,220,0.4617188,0
14905,5,19,4,2110,20,222,267,507,0.0,train,1657,1679,0.55795187,1
14913,9,23,5,1740,20,222,159,256,1.0,train,1657,1649,0.31310323,0
14914,10,10,1,1941,18,81,286,1506,1.0,train,1459,1529,0.29711136,0
14922,4,4,1,1253,1,82,249,1171,1.0,train,135,190,0.18765365,0
14923,8,12,5,1758,15,74,257,83,1.0,train,1167,1242,0.2983017,0
14926,11,15,2,2121,7,251,19,215,1.0,train,531,440,0.48720467,0
14931,5,26,5,1950,8,135,19,151,1.0,train,627,561,0.457441,0
14938,6,9,5,1247,19,159,154,2248,1.0,train,1562,1570,0.19921167,0
14939,5,11,3,924,1,159,213,1515,1.0,train,157,177,0.1669727,0
14947,4,28,5,1750,20,159,161,236,1.0,train,1639,1650,0.32554105,0
14948,4,13,3,1548,3,218,264,569,1.0,train,250,261,0.17917657,0
14959,7,5,2,1525,7,25,19,859,1.0,train,445,440,0.24805441,0
14964,9,21,3,1635,1,213,38,867,1.0,train,176,125,0.23400794,0
14974,11,18,5,1817,3,264,258,697,1.0,train,260,258,0.26118076,0
14979,11,9,4,1937,20,202,286,487,1.0,train,1648,1683,0.4206702,0
14989,12,16,6,1638,1,189,161,2342,1.0,train,167,159,0.33258075,0
14993,10,20,5,1510,15,19,118,774,1.0,train,1139,1185,0.29160002,0
14998,3,11,5,2054,5,98,106,1065,1.0,train,336,337,0.45296377,0
15006,1,8,6,1927,14,88,82,987,1.0,train,1046,1046,0.24936014,0
15007,8,10,4,1742,13,82,289,237,1.0,train,924,1012,0.30400646,0
15008,1,16,1,1545,20,207,249,446,1.0,train,1649,1673,0.28307906,0
15020,6,21,3,1656,20,264,161,308,1.0,train,1668,1650,0.21522991,0
15021,10,3,1,1041,7,152,19,341,1.0,train,487,440,0.0879875,0
15024,2,25,5,1927,5,62,106,1062,1.0,train,326,337,0.26776055,0
15031,8,18,5,1643,16,259,186,329,1.0,train,1389,1350,0.28155002,0
15036,6,10,6,1620,13,144,213,177,1.0,train,946,982,0.2501536,0
15037,12,23,6,1031,16,81,21,775,1.0,train,1300,1268,0.35528317,0
15038,9,24,7,948,13,209,213,693,1.0,train,976,982,0.13565856,0
15045,9,16,5,742,8,51,286,420,1.0,train,580,720,0.07954734,0
15074,3,12,7,1553,16,259,252,262,1.0,train,1389,1388,0.27908218,0
15079,3,22,2,1556,13,161,249,109,1.0,train,952,995,0.0989934,0
15103,8,3,4,1902,22,178,213,403,0.0,train,1887,1918,0.5237543,1
15107,1,23,1,1724,13,45,82,383,1.0,train,905,928,0.25419733,0
15109,3,21,1,1643,13,98,38,200,1.0,train,928,908,0.27497652,0
15116,5,28,6,1645,20,222,49,1999,1.0,train,1657,1631,0.26546684,0
15121,3,1,3,1514,21,139,45,253,1.0,train,1734,1705,0.1507333,0
15124,3,29,3,2245,18,259,138,2419,1.0,train,1514,1480,0.23478487,0
15133,10,28,6,1721,21,139,77,217,1.0,train,1734,1721,0.13830955,0
15137,3,9,3,1646,21,30,139,562,1.0,train,1688,1747,0.17533484,0
15140,7,18,1,1040,20,271,269,404,1.0,train,1671,1680,0.20669603,0
15144,8,14,1,906,22,138,21,1297,1.0,train,1868,1831,0.21020262,0
15146,1,22,7,2130,21,139,184,469,1.0,train,1734,1769,0.4424751,0
15148,8,10,4,1351,7,19,249,1891,1.0,train,443,531,0.25718495,0
15149,3,11,6,2125,20,81,222,602,1.0,train,1626,1667,0.4428005,0
15180,6,8,4,2007,1,80,213,612,0.0,train,133,177,0.53626204,1
15190,6,30,5,2236,8,19,303,589,0.0,train,558,727,0.5757596,1
15197,12,4,1,1854,16,151,267,205,1.0,train,1334,1398,0.19318743,0
15201,2,22,3,2130,9,182,81,895,0.0,train,747,740,0.509043,1
15208,3,31,5,1143,13,213,210,416,1.0,train,978,981,0.24748667,0
15210,1,6,5,1115,19,80,166,214,1.0,train,1544,1574,0.13866176,0
15213,10,20,4,1518,20,62,276,487,1.0,train,1622,1682,0.25840318,0
15214,1,8,7,1348,16,81,36,1013,1.0,train,1300,1277,0.19121721,0
15216,10,23,1,2006,21,138,98,213,1.0,train,1733,1731,0.44171128,0
15219,2,20,7,1625,20,222,210,1037,1.0,train,1657,1661,0.35113788,0
15231,10,24,1,1303,16,58,213,760,1.0,train,1285,1365,0.2115181,0
15259,8,31,4,1703,1,81,82,641,1.0,train,134,136,0.2226448,0
15260,5,4,4,1342,13,82,260,364,1.0,train,924,1002,0.12270723,0
15263,11,30,3,2050,20,77,209,181,1.0,train,1625,1660,0.24014223,0
15271,8,11,4,1437,13,199,213,109,1.0,train,973,982,0.18550092,0
15285,3,27,7,1935,15,285,74,181,1.0,train,1248,1170,0.32131284,0
15286,4,3,1,1250,7,159,267,368,1.0,train,490,539,0.16082431,0
15295,12,5,2,2105,13,118,213,174,1.0,train,935,982,0.45555738,0
15301,10,27,5,818,8,56,19,106,1.0,train,582,561,0.13195929,0
15307,12,14,3,1332,5,258,16,1449,1.0,train,382,316,0.24123757,0
15309,4,21,4,1859,20,249,207,446,1.0,train,1663,1659,0.45504096,0
15328,1,9,1,1405,8,209,19,761,1.0,train,672,561,0.34308067,0
15337,4,23,6,1014,8,19,135,151,1.0,train,558,630,0.19226322,0
15339,4,9,6,729,7,19,189,595,1.0,train,443,500,0.06457411,0
15341,6,30,5,1108,22,88,138,383,1.0,train,1849,1879,0.2879462,0
15361,7,13,3,1937,14,161,201,1536,1.0,train,1076,1095,0.35011032,0
15387,10,17,1,1008,16,267,37,291,1.0,train,1394,1278,0.13869634,0
15388,5,29,1,2057,13,82,110,228,1.0,train,924,935,0.3476015,0
15389,11,18,5,2031,5,139,80,1208,1.0,train,344,330,0.37010917,0
15395,11,15,2,1818,13,296,82,772,1.0,train,1012,928,0.24640587,0
15397,5,15,1,1339,4,154,217,1028,1.0,train,283,293,0.21572992,0
15399,6,22,3,2110,15,49,74,430,1.0,train,1154,1170,0.32695895,0
15404,11,27,1,809,19,88,221,453,1.0,train,1547,1594,0.18912673,0
15407,6,6,1,1914,14,88,221,453,1.0,train,1046,1106,0.30528775,0
15415,12,19,2,1516,20,222,161,370,1.0,train,1657,1650,0.26974624,0
15416,10,30,1,1418,20,182,47,468,1.0,train,1646,1629,0.16313706,0
15422,7,17,7,1901,7,154,106,1069,1.0,train,489,470,0.33918336,0
15423,6,5,1,1608,10,166,19,761,1.0,train,796,776,0.3691921,0
15427,6,10,5,2031,14,166,144,659,1.0,train,1078,1070,0.47249138,0
15437,2,7,2,1007,13,140,82,328,1.0,train,945,928,0.08389506,0
15438,7,14,4,1249,1,189,82,1121,1.0,train,167,136,0.22901003,0
15443,8,7,1,2134,1,82,258,1660,1.0,train,135,193,0.49817598,0
15447,7,21,5,1525,18,207,81,957,1.0,train,1493,1466,0.34041497,0
15454,5,19,5,1917,13,213,247,268,1.0,train,978,994,0.36286804,0
15461,4,8,5,1328,20,222,250,843,1.0,train,1657,1674,0.33733922,0
15463,3,13,7,2040,19,106,166,1076,1.0,train,1551,1574,0.36904263,0
15475,10,8,7,2013,19,221,245,257,1.0,train,1584,1603,0.22248216,0
15497,8,20,7,1158,13,65,166,478,1.0,train,915,960,0.18277335,0
15500,1,9,7,853,7,214,19,516,1.0,train,512,440,0.109443285,0
15506,12,1,5,1349,7,19,275,445,1.0,train,443,542,0.22529718,0
15526,4,16,7,1911,14,201,25,1050,1.0,train,1093,1026,0.19424915,0
15529,6,15,3,1336,1,82,159,1055,1.0,train,135,158,0.19843729,0
15539,12,23,6,1651,22,291,222,110,1.0,train,1940,1922,0.20343457,0
15545,6,4,6,1549,19,189,221,1013,1.0,train,1571,1594,0.20518589,0
15550,10,31,1,2114,1,189,266,1045,1.0,train,167,196,0.31981513,0
15559,8,20,7,1305,4,154,81,1626,1.0,train,283,277,0.1447411,0
15560,5,12,5,1936,18,271,259,372,1.0,train,1519,1521,0.2731088,0
15562,11,21,1,2052,1,189,201,1501,1.0,train,167,169,0.3069205,0
15563,2,10,4,1220,3,232,155,123,1.0,train,252,238,0.16907352,0
15564,4,23,7,1949,5,98,62,404,1.0,train,336,327,0.31702995,0
15566,1,22,6,2115,20,30,286,460,1.0,train,1616,1683,0.364275,0
15583,11,16,4,1340,13,276,154,892,1.0,train,1004,953,0.22940418,0
15591,5,10,3,809,3,38,258,2496,1.0,train,223,258,0.08365943,0
15598,2,24,4,947,19,259,221,2521,1.0,train,1599,1594,0.19375582,0
15605,5,8,7,2029,18,259,81,967,1.0,train,1514,1466,0.26238564,0
15609,10,31,2,1456,13,82,117,500,1.0,train,924,938,0.15803133,0
15612,6,19,7,2119,14,201,2,981,0.0,train,1093,1020,0.5327294,1
15616,6,28,2,1346,1,213,259,1846,1.0,train,176,194,0.42587215,0
15618,2,4,6,1235,4,286,154,1005,1.0,train,312,284,0.14427666,0
15619,6,29,3,1740,20,49,144,515,1.0,train,1621,1645,0.43881598,0
15621,9,10,7,1952,10,226,19,526,1.0,train,811,776,0.39177668,0
15622,6,29,3,1909,5,139,286,787,1.0,train,344,389,0.39485517,0
15626,6,25,6,1401,3,155,258,909,1.0,train,237,258,0.28651407,0
15632,12,15,4,1218,1,82,264,1438,1.0,train,135,195,0.32340378,0
15634,2,10,5,1451,18,213,286,1012,1.0,train,1498,1529,0.28173772,0
15635,9,28,3,1850,20,159,36,1588,1.0,train,1639,1627,0.33961007,0
15639,6,24,6,1110,10,49,19,576,1.0,train,774,776,0.1574555,0
15641,3,11,5,1540,20,182,207,1844,1.0,train,1646,1659,0.3652369,0
15648,9,19,2,2003,16,264,161,308,1.0,train,1392,1341,0.14178354,0
15651,7,5,3,2034,1,202,82,448,1.0,train,169,136,0.40030563,0
15655,9,16,6,1120,3,259,258,679,1.0,train,258,258,0.16427696,0
15660,4,16,6,805,15,74,239,390,1.0,train,1167,1233,0.049684204,0
15663,1,15,6,2024,3,161,258,954,1.0,train,240,258,0.35981885,0
15667,8,9,2,2045,16,267,124,463,1.0,train,1394,1325,0.18861035,0
15676,8,26,5,905,20,222,49,1999,1.0,train,1657,1631,0.100972965,0
15707,11,5,7,2304,5,131,161,2556,1.0,train,341,348,0.4654785,0
15727,1,23,7,1101,18,81,82,641,1.0,train,1459,1467,0.14607623,0
15740,12,21,4,1355,14,166,201,1020,1.0,train,1078,1095,0.38807678,0
15748,11,6,1,1241,13,132,82,247,1.0,train,940,928,0.14786506,0
15749,6,24,6,1750,7,19,212,1900,1.0,train,443,512,0.34251863,0
15751,1,3,1,2040,19,226,180,834,0.0,train,1586,1577,0.54652065,1
15756,7,29,5,1421,14,201,264,1576,1.0,train,1093,1126,0.31484187,0
15762,3,7,1,1816,21,98,46,266,1.0,train,1720,1706,0.2861654,0
15770,10,15,6,1727,21,13,98,143,1.0,train,1680,1731,0.45070824,0
15772,4,8,5,1141,18,218,259,550,1.0,train,1500,1521,0.3086155,0
15775,4,29,5,1732,18,213,222,1440,1.0,train,1498,1509,0.24884285,0
15779,6,7,2,1424,10,19,220,508,1.0,train,770,814,0.19839883,0
15780,2,17,4,1825,21,139,69,809,1.0,train,1734,1716,0.22317961,0
15782,5,15,1,2100,4,217,154,1028,1.0,train,292,284,0.40876833,0
15783,8,10,3,950,8,19,262,552,1.0,train,558,707,0.2739035,0
15791,7,27,4,1753,4,98,106,1065,1.0,train,277,279,0.38340855,0
15794,5,10,3,824,21,169,98,1069,1.0,train,1749,1731,0.0707051,0
15800,9,2,5,2152,7,19,82,732,1.0,train,443,463,0.42580643,0
15804,12,17,7,1136,10,248,144,946,1.0,train,817,798,0.19280267,0
15812,8,29,1,1728,20,234,221,238,1.0,train,1659,1666,0.28549823,0
15819,9,13,3,2019,17,182,166,725,1.0,train,1428,1432,0.32267419,0
15845,6,9,5,1735,13,82,5,89,1.0,train,924,896,0.18928717,0
15851,8,7,7,1722,10,19,184,332,1.0,train,770,806,0.38422278,0
15858,4,6,4,1058,19,222,180,1848,1.0,train,1585,1577,0.15757814,0
15864,12,17,7,1214,20,182,88,229,1.0,train,1646,1637,0.34067443,0
15867,1,31,1,1455,1,82,49,1217,1.0,train,135,128,0.18616141,0
15870,11,30,4,606,5,154,139,1417,1.0,train,347,343,0.0093954615,0
15871,8,31,4,1725,7,153,19,270,1.0,train,488,440,0.3690586,0
15874,9,22,4,1328,20,239,222,1891,1.0,train,1660,1667,0.3244221,0
15877,9,12,1,1810,20,212,264,333,1.0,train,1652,1678,0.24140413,0
15886,7,16,6,1440,1,81,213,888,1.0,train,134,177,0.31284413,0
15892,3,18,6,1537,22,138,98,213,1.0,train,1868,1865,0.41911343,0
15895,9,11,1,1527,1,82,201,852,1.0,train,135,169,0.19398078,0
15896,10,8,7,1842,10,19,38,946,1.0,train,770,778,0.29045647,0
15905,11,1,3,1933,8,135,80,613,1.0,train,627,598,0.29825607,0
15917,10,11,3,2005,21,138,98,213,1.0,train,1733,1731,0.46270105,0
15921,1,20,4,2038,20,180,106,178,1.0,train,1645,1639,0.3977444,0
15924,1,20,5,1044,9,182,81,895,1.0,train,747,740,0.1428271,0
15938,3,28,1,1222,1,166,82,1389,1.0,train,159,136,0.22635916,0
15946,1,5,3,919,18,221,213,678,1.0,train,1501,1505,0.20789856,0
